Date,global radiation [Mj/qm],max temp [°C],min temp [°C],precipitation [mm],sunshine duration [h],rel hum [%],wind speed [m/s],mean temp [°C],dew point [°C],Kesselverdunstung [mm],vapour saturation deficit [%],snow height [mm],par [mol/qm*d],temp soil at 2cm [°C],temp soil at 5cm [°C],temp soil at 10cm [°C],temp soil at 20cm [°C],temp soil at 50cm [°C]
1997-02-01,7.17,2.2,-5.4,0,8.6,80,2.1,-3.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-02,7.18,2.3,-9.4,0,8.5,71,1.5,-3.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-03,3.57,2.4,-6.4,0,3.7,73,2.5,-0.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-04,3.61,4.3,0.7,2.5,0.1,73,4.6,3.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-05,1.87,4.5,0.6,1.4,0,90,4.2,2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-06,4.25,5.2,-1.4,0,0.3,85,4,2.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-07,6.93,9.6,1.5,0.3,5.8,58,3.9,5.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-08,7.9,9.5,1.2,0,6.8,77,3.8,3.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-09,4.12,10.3,-0.9,0.1,3.7,82,3.5,6.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-10,6.59,12.6,6.5,1,4.6,61,5.5,10,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-11,6.59,11.7,5,0.9,6.7,52,8,6.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-12,1.87,9.5,3.3,7.2,0,94,3.4,7.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-13,2.66,11.6,4.3,2.5,1.4,71,6.6,7.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-14,4.49,6.6,1.2,0,0.9,70,6.9,3.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-15,1.77,2.8,-2.3,0,0,91,2.1,0.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-16,3.16,0.8,-1.7,0,0.7,76,1.6,-0.9,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-17,7.05,3.4,-4.3,0,5.6,71,3.3,-0.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-18,1.43,5.2,-1.4,5.1,0,85,5.3,3.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-19,4.67,7,2.1,4.1,1.2,77,5,3.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-20,4.91,8.5,1,1.4,2.3,65,6.9,6.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-21,1.23,9.7,5.1,3.9,0,74,7.8,8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-22,7.67,13,3.5,0,4.5,72,4.6,8.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-23,9.24,14.8,5.1,0,7,70,2.9,9.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-24,4.26,15.5,6.8,0,2.4,63,4.2,11.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-25,1.75,14.6,10.3,1.5,0,64,8.2,12.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-26,5.41,12.5,5.4,4.1,2,69,7.1,8.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-27,10.58,8,1.8,0,7.1,71,4.2,3.9,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-02-28,11.37,13.6,0.4,0,8.3,59,4.3,8.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-01,7.32,13.3,5.6,0.1,4.6,62,3.6,9.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-02,11.6,19.7,7.6,0,7.9,54,5.7,15.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-03,9.15,15.6,2.9,0,4.9,60,4.9,6.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-04,12.27,11.7,0.1,0,9.5,70,2.2,3.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-05,12.66,14.7,-2.3,0,9.9,68,2,6.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-06,3.07,10.8,3.8,0,0,88,2.1,5.9,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-07,13.9,11.7,-3.8,0,10.7,65,1.4,4.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-08,10.16,14.5,-0.5,0,5.7,60,1.7,7.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-09,12.5,13.7,2.8,0,3.3,74,1,6.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-10,13.58,16.5,-2,0,10.3,72,1.3,7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-11,12.73,16.7,-0.1,0,10,72,2.1,8.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-12,3.89,10.4,3.3,0,4.1,85,1.6,5.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-13,1.58,9.4,-0.2,0,0,87,3.6,8.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-14,3.32,11.7,7.5,1,0.2,78,4.5,8.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-15,3.24,11,7.7,5.5,0,92,5.3,8.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-16,9.82,8.7,1.5,3.3,2.4,72,2.8,3.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-17,8.74,3.9,-0.5,0,2,80,1.8,0.9,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-18,14.11,5.4,-5.2,7.4,5.8,68,2.7,1.9,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-19,2.36,6.5,0.4,0.1,0.1,90,3.5,2.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-20,2.36,2.1,-2.8,0,4.8,68,2,-0.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-21,10.09,2.9,-3.3,0.7,1.5,89,1.7,0.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-22,9.45,5.2,-2.4,0.1,4.2,83,2.3,-0.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-23,15.14,6.9,-4.8,0,9.3,67,2.6,2.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-24,13.97,7.9,-2.3,0,6.9,64,3.1,3.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-25,12.24,6.5,0.1,0,4.5,70,3.2,2.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-26,15.33,13.1,-3,2.3,7.9,61,2.9,7.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-27,11.21,12.7,8,1.3,2.1,62,6.1,10.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-28,8.35,12.2,4.8,1.6,6,81,8.3,6.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-29,6.75,8.4,2.5,0.1,1.3,65,5,5.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-30,17.33,10.9,0,0.2,11.5,70,3.5,5.9,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-03-31,17.66,14.7,3.8,0,11.3,69,3.8,9,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-01,19.12,16.9,3,0,11.3,66,2.7,9.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-02,13.18,16.1,0.8,0,10.2,76,1.8,7.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-03,13.82,17,0.8,2.2,7.3,73,4.3,8.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-04,13.12,9.1,0.6,1.9,3.8,75,5.1,3.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-05,4.81,7.4,0.1,12.5,0,91,5.6,4.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-06,13.37,8.2,-0.2,2.3,4.8,72,4.9,2.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-07,17.81,8.2,-4.3,0,10,60,2.8,1.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-08,17.46,8.5,-6.8,0,11,42,1.1,4.9,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-09,11.57,13,3.2,0,3.6,53,1.7,7.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-10,12.65,12.8,3.8,0,3.5,57,4.7,9.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-11,8.38,9.6,2.2,2.1,1.6,64,7.9,5.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-12,12.16,7.7,-1.2,0.1,3.5,70,4,1.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-13,18.59,9.5,-6.6,0.9,11.2,49,2.7,5.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-14,18.59,8.8,5.4,1.6,0,85,5.6,6.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-15,15.66,7.8,0.2,3.3,5.7,65,4.8,2.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-16,14.89,7.4,-0.9,1.9,4.3,67,3.4,3.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-17,8.61,9.6,0.3,0.1,1.9,88,2.5,3.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-18,7.78,10.9,-0.8,0.7,3.5,77,4,7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-19,15.51,8.6,1,0,4.5,67,2.2,3.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-20,19.84,8,-1.1,0,7.9,62,2.1,1.9,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-21,18.24,9.4,-5.1,0,8.5,62,1.5,2.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-22,16.73,10.7,-2.9,0,6.5,63,2.3,4.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-23,22.51,11.4,-0.5,0,11.7,52,2.6,5.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-24,22.48,17.6,0.6,0,11.8,40,5.3,11.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-25,9.77,14.1,7.5,0.7,0.5,61,4.5,10,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-26,9.77,15.4,2.3,0,10.9,61,2.9,10.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-27,9.77,19.2,6.2,0,6.7,60,3.5,13.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-28,12.23,18.1,9.2,1.4,3.2,74,4.6,13.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-29,13.4,16.7,10,6,3.9,81,4.4,12.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-04-30,2.96,12.6,8.9,1.8,0,92,3.9,9.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-01,13.78,15.3,8.4,0,2.3,84,1.9,9.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-02,19.49,20.9,5.1,0,8.6,76,3.4,14.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-03,22.85,20.1,9.3,0,11.1,65,3.7,14,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-04,22.04,20.3,6.1,0,4.5,67,2.1,16,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-05,11.7,24.7,13.8,7.3,4.3,74,4.3,17,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-06,20.6,24.9,11.3,5.8,8.1,65,5,16,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-07,16.74,11.9,4.7,0,4.1,76,3.4,6.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-08,16.74,10.4,2.8,1.2,1.6,85,2.4,8.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-09,24.02,17.7,5.5,1,8.9,65,4.5,10.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-10,21.6,17,6.3,0.6,10,72,4.2,11.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-11,21,24,6.2,0,9.8,47,2.8,18.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-12,23.29,23.6,8.6,8.6,12.4,56,2.7,18.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-13,17.78,20.8,13.1,0,4.1,81,1.9,16.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-14,23.47,28.5,11.7,2.7,12.9,68,2.6,21,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-15,20.36,25.1,13.7,0,9.9,78,2.4,20,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-16,24.76,26.4,15.3,0,9.8,68,4.4,20.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-17,24.3,28.5,15.3,0,13.4,57,4.2,22.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-18,26.06,29.7,14.3,0,13.1,52,2.8,23.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-19,26.06,23.7,16,0,4.9,77,3.7,18.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-20,17.87,25.7,12.2,18,5.2,72,1.8,18.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-21,16.59,19.8,13.2,1.5,6.9,73,4.2,15.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-22,4.97,15.6,10.1,0.2,0.4,90,2.1,11.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-23,8.53,11.2,6.5,2,1,93,1.3,8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-24,20.33,13,2.9,0.3,5.2,82,1.5,8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-25,28.62,17.1,0,0,13.6,49,1.6,12.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-26,17.9,18.3,4.9,2.9,7.6,56,1.7,13.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-27,8.64,13,8.7,16.1,0.4,91,3.4,10.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-28,19.27,15.7,5.8,0,5.8,76,2.7,9.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-29,16.48,16.5,2.9,2.8,6.1,66,3.7,12.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-30,20.6,15.6,7,0,6.9,69,4,9.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-05-31,24.07,14.9,1.6,0.3,10.2,58,3.3,10,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-01,10.28,15.7,5.8,0,0.8,81,1.7,12,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-02,30.05,21.6,6.7,0,14.5,54,1.9,15.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-03,26.61,20.8,5.3,0,13.6,64,1.6,13.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-04,21.87,22.7,7.8,0,8.1,59,1.8,17.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-05,28.13,24.6,11.1,0,11.7,51,3,19.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-06,28.89,25.3,12.8,0,10.9,63,2.6,18.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-07,30.25,26.9,9,0,14.4,48,2.9,21.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-08,25.3,25.9,12.9,0,11.6,46,3.5,22.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-09,24.77,25.6,16.1,0,11.3,55,3.6,19.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-10,29.11,25.7,9.9,0,14.3,55,1.7,20.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-11,30.07,28.2,13.6,0,15.4,48,2.7,22.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-12,20.74,29.4,14.2,10.4,8.9,59,2.2,22.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-13,14.86,26.2,16.7,6,8.3,77,1.6,19.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-14,18.9,24,15.4,1.5,8.2,83,2.6,18.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-15,15.43,21.1,14,0.1,1.8,77,3.7,15.9,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-16,26.44,20,10.1,0,7.7,61,2.6,15.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-17,29.07,20.3,6.8,0,13.5,60,1.9,13.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-18,29.98,21.2,6.9,0,10.1,57,2.7,15.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-19,21.33,21.3,11.1,0,5.9,61,2.2,16.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-20,7.3,17,12.1,4.4,0,87,1.8,13.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-21,15.87,22.9,9.5,7.9,4.5,75,2.8,17.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-22,10.41,17.6,13.1,0,0.8,85,3.1,14.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-23,19.52,19.8,11.3,4.5,5,80,4,14.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-24,11.34,16.1,11.7,1,1.1,87,6.5,12.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-25,19.83,18.7,9.8,0,7.4,61,2.4,14.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-26,15.52,22.7,11.1,1.9,3.2,66,2.9,18.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-27,9.68,22.5,14.5,4.6,1.6,86,1.4,18.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-28,26.24,26.9,15.8,0,10.7,73,1.5,21.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-29,26.26,33.9,18.6,0,13.8,55,4.1,27.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-06-30,18.37,26.9,16.1,15.7,7.5,80,2.8,19,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-01,14.49,20.6,13.9,0.1,1.1,78,2.3,16.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-02,25.86,25.7,12.1,0,13.1,57,2.6,20.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-03,19.95,27.6,15.2,3.1,5.5,80,1.6,18.8,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-04,16.57,25.4,13.2,2.3,6.6,80,1.9,18.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-05,16.9,22,12.7,5.7,6.6,73,2.1,18.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-06,12.01,19.1,12.7,2.8,3.3,75,3.6,16.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-07,21.76,25,13.3,0,6.3,71,4.6,19.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-08,27.34,25.5,14.1,0,9.3,68,3.5,19.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-09,22.86,24.7,11.7,0,11.3,68,2.2,18.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-10,27.02,24.4,12.1,0,9.4,59,1.9,19.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-11,22.43,25.2,9.8,0,12,57,1.6,20.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-12,26.14,25.9,12.3,0,8.5,57,1.8,20.4,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-13,25.39,24,11.5,0,11.5,61,1.7,17.6,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-14,24.35,26.4,8,0,12.6,51,1.1,20.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-15,15.3,23.3,13.3,0.2,3.6,72,1.7,18.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-16,12.79,23,14.4,0.6,1.5,79,1.8,18.5,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-17,15.77,24.5,13.9,2.5,2.6,72,1.5,20.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-18,4.52,20.2,15.6,17.2,0,96,2.4,16.2,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-19,4.52,18.6,14,16.8,0.2,94,2.4,15.1,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-20,3.26,17.2,13.7,37.5,0,96,3,16,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-21,14.33,25,16.2,0.5,4.9,85,2.3,19.7,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1997-07-22,26.4,26.7,14.1,0,13.5,74,1.3,20.3,-9.9,999.9,999.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
